seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,19,20,0.28907616906154365,0.22224602900283885,True,1.3007034157530488,0.11417828073860782
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,20,21,0.16121126836139266,0.1870006167337383,True,0.8620895009717218,0.06444764396604138
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,21,22,0.14980639519861005,0.15600396805518832,True,0.9602729793745644,0.01760529135241266
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,22,23,0.051576530818034726,0.15818878805302958,True,0.326044161870339,0.4867235718411137
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,0,1,0.12039637754209212,0.12437194682590597,True,0.9680348391636999,0.014109012335948922
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,1,2,0.0720266612613893,0.12041544754299577,True,0.5981513396416297,0.22318892026608356
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,2,3,-0.01287788263158205,0.12484618517038266,False,,
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,3,4,0.04346999431850963,0.12889379433104545,True,0.33725436157820843,0.4720424250597654
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,4,5,0.06944567612304935,0.14386056999621394,True,0.4827290488622212,0.316296566147176
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,5,6,0.12186064387315973,0.15823160031359068,True,0.7701410061684941,0.11342975197757497
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,6,7,0.09840187014540866,0.17554489436385162,True,0.5605510231556565,0.2513848503902833
7,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,7,8,0.12599043694715265,0.18509663341832622,True,0.6806738438208594,0.16706093766118751
