window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,70,10,0.0031159195693077324,-0.01720169988892682,True,,0.12916850317517659,0.07585711110536789
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,71,10,0.0031926359158459443,0.03824080665117987,False,1.078377649733167,0.12916850317517659,0.07772381921992244
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,72,10,0.003331408871885841,0.012547104370226752,False,0.5759155726106715,0.12916850317517659,0.08110040973504942
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,73,10,0.003165995230716637,-0.020297036713785736,True,,0.12916850317517659,0.07707558728986055
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,74,10,0.0027550984211231603,-0.005543980640374831,True,,0.12916850317517659,0.0670767811320689
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,75,10,0.0027764215125427225,0.03954606959450572,False,1.1536179255238972,0.13131498337060066,0.06871846844749208
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,76,10,0.002942772572366961,-0.01919049552850598,True,,0.13131498337060066,0.07283381127680262
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,77,10,0.0030454190502526754,0.01677821447399961,False,0.7410986815470559,0.13131498337060066,0.07537306168139428
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,78,10,0.0026658835043053943,0.04957382837178038,False,1.269411291499807,0.13131498337060066,0.06598375636268125
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,79,10,0.0026294569217075532,0.024511682456673154,False,0.9695070616239037,0.13131498337060066,0.06508254062085152
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,80,10,0.00243064952333319,-0.004283975153065041,True,,0.13263020692867444,0.0607660842969762
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,81,10,0.00255063139895933,-0.017900446214163,True,,0.13263020692867444,0.06376436840173647
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,82,10,0.002443053765631586,0.03752760342249291,False,1.1864178056668766,0.13263020692867444,0.06107606527209203
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,83,10,0.0021294560594037216,-0.06164202278834739,True,,0.13263020692867444,0.053238897671160794
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,84,10,0.002532739376136792,0.03504474011705441,False,1.1410323413799037,0.13263020692867444,0.06331726362842384
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,85,10,0.0022813079719363953,-0.0010505379176829815,True,,0.13407299564196506,0.05765414905423083
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,86,10,0.0023388179947778677,0.014000224319284826,False,0.7771385676152024,0.13407299564196506,0.059107002104898845
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,87,10,0.002458917288636159,-0.041150949841131386,True,,0.13407299564196506,0.062140933896831695
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,88,10,0.0017605031355824143,0.026337187548032513,False,1.174932593465352,0.13407299564196506,0.04449599973898701
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,89,10,0.0024108564468389494,-0.03691859344946338,True,,0.13407299564196506,0.06092684204496618
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,90,10,0.002086078858739571,-0.031037243825388076,True,,0.13521724558552828,0.05317174615178183
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,91,10,0.002545867086281827,0.006760745071414513,False,0.42415883380908165,0.13521724558552828,0.0648862276722339
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv2,92,10,0.001957022246251269,0.061845275378719665,False,1.4997107651618276,0.13521724558552828,0.0498833187702205
