method,metric,mean,std,n,mean_pm_std
dp_kfc,best_accuracy,0.9461333333333334,0.002050203241957601,3,0.946133 ± 0.0020502
dp_kfc,core_wall_time,106.44844577399392,5.528589575094339,3,106.448 ± 5.52859
dp_kfc,diagnostic_seconds,162.30127727426589,7.742032742931,3,162.301 ± 7.74203
dp_kfc,final_accuracy,0.9461333333333334,0.002050203241957601,3,0.946133 ± 0.0020502
dp_kfc,final_test_loss,0.30315113445349656,0.005965469971649181,3,0.303151 ± 0.00596547
dp_kfc,late_aggregate_cosine,0.4553199732125106,0.005207217776188058,3,0.45532 ± 0.00520722
dp_kfc,late_aggregate_cosine_iqr,0.13717369836588186,0.007161639436822873,3,0.137174 ± 0.00716164
dp_kfc,late_aggregate_cosine_q25,0.3904936386416628,0.00041599589450930187,3,0.390494 ± 0.000415996
dp_kfc,late_aggregate_cosine_q75,0.5276673370075448,0.0075538785479221686,3,0.527667 ± 0.00755388
dp_kfc,late_coefficient_cv,0.6342999588670017,0.028336070873958067,3,0.6343 ± 0.0283361
dp_kfc,late_coefficient_cv_iqr,0.17954843496487952,0.0324886685269744,3,0.179548 ± 0.0324887
dp_kfc,late_coefficient_cv_q25,0.5684895490823064,0.019504557050329382,3,0.56849 ± 0.0195046
dp_kfc,late_coefficient_cv_q75,0.748037984047186,0.05186723950919657,3,0.748038 ± 0.0518672
dp_kfc,late_mean_accuracy,0.9358285714285713,0.0034533922985010763,3,0.935829 ± 0.00345339
dp_kfc,late_norm_cv,3.0725248981482234,0.09092843420145201,3,3.07252 ± 0.0909284
dp_kfc,late_norm_cv_iqr,0.5651928226632355,0.02939096155900031,3,0.565193 ± 0.029391
dp_kfc,late_norm_cv_q25,2.8129280421057086,0.08455567823776014,3,2.81293 ± 0.0845557
dp_kfc,late_norm_cv_q75,3.378120864768944,0.08376213184864839,3,3.37812 ± 0.0837621
dp_kfc,late_shape_error,0.8903150797833335,0.0026562915368285827,3,0.890315 ± 0.00265629
dp_kfc,late_shape_error_iqr,0.0711855702670039,0.004550906404383441,3,0.0711856 ± 0.00455091
dp_kfc,late_shape_error_q25,0.8494199815404806,0.004717360958353461,3,0.84942 ± 0.00471736
dp_kfc,late_shape_error_q75,0.9206055518074844,0.00017646445787687312,3,0.920606 ± 0.000176464
dp_kfc,late_snr,0.023220727609058866,0.0009205539121238435,3,0.0232207 ± 0.000920554
dp_kfc,late_snr_iqr,0.006610143415858733,0.0008294889514237352,3,0.00661014 ± 0.000829489
dp_kfc,late_snr_q25,0.020614232216117166,0.0006631719771424576,3,0.0206142 ± 0.000663172
dp_kfc,late_snr_q75,0.027224375631975897,0.0013638108657475407,3,0.0272244 ± 0.00136381
dp_kfc,mean_refresh_time,0.16873628336987978,0.006695912072803776,3,0.168736 ± 0.00669591
dp_kfc,number_of_refreshes,24.0,0.0,3,24 ± 0
dp_kfc,oracle_A_diag_new_conv1,2.490736922925207,0.8576169971593471,3,2.49074 ± 0.857617
dp_kfc,oracle_A_diag_new_conv2,1.872800192601833,0.27466610741430836,3,1.8728 ± 0.274666
dp_kfc,oracle_A_diag_new_fc1,6.771485408238333,2.2691155815422945,3,6.77149 ± 2.26912
dp_kfc,oracle_A_diag_new_fc2,2.729305745581027,0.5373130685189073,3,2.72931 ± 0.537313
dp_kfc,oracle_A_diag_old_conv1,2.4906287854141542,0.8578306803226958,3,2.49063 ± 0.857831
dp_kfc,oracle_A_diag_old_conv2,1.8950308674390122,0.2920427858260621,3,1.89503 ± 0.292043
dp_kfc,oracle_A_diag_old_fc1,6.789327918647352,2.2878213552268636,3,6.78933 ± 2.28782
dp_kfc,oracle_A_diag_old_fc2,2.764452137798706,0.5294989264853431,3,2.76445 ± 0.529499
dp_kfc,oracle_A_diag_raw_conv1,2.7434432767979953,1.067723660389564,3,2.74344 ± 1.06772
dp_kfc,oracle_A_diag_raw_conv2,3.344884662067629,1.2075615923783964,3,3.34488 ± 1.20756
dp_kfc,oracle_A_diag_raw_fc1,10.299785158038418,0.05057106867312473,3,10.2998 ± 0.0505711
dp_kfc,oracle_A_diag_raw_fc2,11.381390446707053,0.6302808539420053,3,11.3814 ± 0.630281
dp_kfc,oracle_R_diag_new_conv1,0.9159345952009889,0.07957672723992902,3,0.915935 ± 0.0795767
dp_kfc,oracle_R_diag_new_conv2,0.5983562582675553,0.14642294302517325,3,0.598356 ± 0.146423
dp_kfc,oracle_R_diag_new_fc1,0.6585325435989439,0.22114014281842342,3,0.658533 ± 0.22114
dp_kfc,oracle_R_diag_new_fc2,0.2443922411633657,0.03830224357327033,3,0.244392 ± 0.0383022
dp_kfc,oracle_R_diag_old_conv1,0.9159033510011946,0.07940499685196016,3,0.915903 ± 0.079405
dp_kfc,oracle_R_diag_old_conv2,0.6012455653346875,0.143973037267815,3,0.601246 ± 0.143973
dp_kfc,oracle_R_diag_old_fc1,0.659400546921984,0.22217257936748824,3,0.659401 ± 0.222173
dp_kfc,oracle_R_diag_old_fc2,0.24500201657883058,0.03948291189435637,3,0.245002 ± 0.0394829
dp_kfc,oracle_R_full_new_conv1,1.00050055693347,0.019910377062039734,3,1.0005 ± 0.0199104
dp_kfc,oracle_R_full_new_conv2,1.0607707144576954,0.011804755058293792,3,1.06077 ± 0.0118048
dp_kfc,oracle_R_full_new_fc1,1.051360553849996,0.006713209062051098,3,1.05136 ± 0.00671321
dp_kfc,oracle_R_full_new_fc2,1.0361655440243087,0.008110658473746556,3,1.03617 ± 0.00811066
