pair,metric,seed,delta,mean,std,n
dp_kfc - dp_sgd,oracle_A_diag_raw_fc2,42,,,,
dp_kfc - dp_sgd,oracle_A_diag_raw_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_new_conv1,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_new_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_new_conv2,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_new_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_new_fc1,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_new_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_new_fc2,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_new_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_old_conv1,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_old_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_old_conv2,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_old_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_old_fc1,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_old_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_R_diag_old_fc2,42,,,,
dp_kfc - dp_sgd,oracle_R_diag_old_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_new_conv1,42,,,,
dp_kfc - dp_sgd,oracle_R_full_new_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_new_conv2,42,,,,
dp_kfc - dp_sgd,oracle_R_full_new_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_new_fc1,42,,,,
dp_kfc - dp_sgd,oracle_R_full_new_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_new_fc2,42,,,,
dp_kfc - dp_sgd,oracle_R_full_new_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_old_conv1,42,,,,
dp_kfc - dp_sgd,oracle_R_full_old_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_old_conv2,42,,,,
dp_kfc - dp_sgd,oracle_R_full_old_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_old_fc1,42,,,,
dp_kfc - dp_sgd,oracle_R_full_old_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_R_full_old_fc2,42,,,,
dp_kfc - dp_sgd,oracle_R_full_old_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_new_conv1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_new_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_new_conv2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_new_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_new_fc1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_new_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_new_fc2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_new_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_old_conv1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_old_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_old_conv2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_old_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_old_fc1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_old_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_old_fc2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_old_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_raw_conv1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_raw_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_raw_conv2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_raw_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_raw_fc1,42,,,,
dp_kfc - dp_sgd,oracle_S_full_raw_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_S_full_raw_fc2,42,,,,
dp_kfc - dp_sgd,oracle_S_full_raw_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_conv1,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_conv2,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_fc1,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_fc2,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_diag_fc2,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_full_conv1,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_full_conv1,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_full_conv2,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_full_conv2,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_full_fc1,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_full_fc1,all,,,,0
dp_kfc - dp_sgd,oracle_private_delta_stale_full_fc2,42,,,,
dp_kfc - dp_sgd,oracle_private_delta_stale_full_fc2,all,,,,0
