seed,family,alpha,run_id,layer,filtered_gradient_norm,filter_gradient_norm_ratio,parameter_update_norm,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,signal_retention,noise_retention,cosine_filtered,snr_gain_db,relmse_filtered,beta_train,clean_gradient_distortion
123,adaptive_beta,0.0,dp_adam,conv1,8.917816869827906,1.0,0.008815601500622976,8.917816869827906,1.240677984036673,0.4297150592197857,8.815605668787578,1.0,1.0,0.046453061598199924,0.0,122026.95345020731,,0.0
123,adaptive_beta,0.0,dp_adam,conv2,46.578222055601856,1.0,0.0475336201488935,46.57822205560186,6.5026434594263485,2.2507620720064283,47.5336211028098,1.0,1.0,0.0004064774768268247,0.0,148317.0319683955,,0.0
123,adaptive_beta,0.0,dp_adam,fc1,306.38900359471495,1.0,0.3125622653641996,306.38900359471495,43.22633748481695,14.881027124253551,312.56225153066083,1.0,1.0,0.0013327145469373249,0.0,435605.95760220755,,0.0
123,adaptive_beta,0.0,dp_adam,fc2,24.5972015397069,1.0,0.025004043272538024,24.5972015397069,3.428329445344869,1.189711131083081,25.004041765263334,1.0,1.0,0.010587935144397325,0.0,25573.74985032311,,0.0
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,conv1,6.696212786976273,0.7508562539122651,0.0088157819553222,6.696212786976273,0.931176496715808,0.3224984193506512,8.815784716934663,0.5659254040371674,0.5637850248567071,0.04611064244891357,0.016387851313571452,68474.95925286454,569.0362029556904,0.2477324065683216
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,conv2,34.93369077469325,0.7500004985370401,0.04753360760325935,34.93369077469325,4.8769852590440195,1.6880726296343798,47.533607836124595,0.5625308276360217,0.5625007443215224,0.0004227035415146742,0.000232260600315425,83386.62068704027,1.0,0.24997944981687004
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,fc1,229.79866542481506,0.7500225709448265,0.31256218738012576,229.79866542481506,32.4202995074249,11.160960435018788,312.56217320559045,0.6196248585941202,0.5625328570450415,0.00161713545019865,0.4063834102345956,245077.87232415928,53.48820477467028,0.22813982605061045
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,fc2,18.449318693306655,0.750057901683398,0.02500373154655555,18.449318693306655,2.571535567303965,0.8923696053220862,25.00372970476664,0.567603015001265,0.5625882765955408,0.0104909437081322,0.03852947863973425,14386.806363862432,1.0,0.24665034626802268
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,conv1,4.474672484562831,0.501718420689284,0.00881617146413815,4.47467248456283,0.6216842269037592,0.21528408710684058,8.81617412940123,0.2546044848277463,0.25172321962166294,0.0463896027752065,0.04881559315142096,30582.94344499632,569.0320837417273,0.4954641797699943
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,conv2,23.289156006436748,0.5000009555555778,0.04753359772399542,23.289156006436748,3.2513274111332136,1.1253831896878412,47.53359837138673,0.2500408438629713,0.25000095577982595,0.00042066371924382546,0.00069286811237705,37060.236277070086,1.0,0.4999591617451016
